Nombre,Cuenta,Servidor
Anartist,@anartist@social.anartist.org,Mastodon
Jugando En Linux,@jugandoenlinux@mastodon.social,Mastodon
Climática,@climatica_coop@mastodon.social,Mastodon
La Marea,@lamarea@mastodon.social,Mastodon
Amnistía Internacional Extremadura,@ExtremaduraAI@mastodon.social,Mastodon
Aneca,@aneca@mastodon.social,Mastodon
Civio,@civio@mastodon.social,Mastodon
CNT Valladolid,@cnt_valladolid@kolektiva.social,Mastodon
CNT Valladolid,@cntvalladolid@pixelfed.de,Pixelfed
CNT Valladolid,@cnt_valladolid@fediverse.tv,PeerTube
Cuéntica,@cuentica@masto.es,Mastodon
desdelamina.net,@desdelamina@xarxa.cloud,Mastodon
Descontrol Editorial,@DescontrolEditorial@mastodont.cat,Mastodon
Ecologistas en Acción,@ecologistas@mastodon.social,Mastodon
Ediciones Dyskolo,@dyskolo@mastodon.social,Mastodon
elDiario.es,@eldiarioes@mastodon.world,Mastodon
El Salto Diario,@ElSaltoDiario@mastodon.social,Mastodon
Izquierda Unida,@izquierda_unida@mastodon.social,Mastodon
Libreria Aldarull,@aldarull@mastodont.cat,Mastodon
MediaLab Invisible,@medialab_invisible@xarxa.cloud,Mastodon
Pantube TV,@pantube@mas.to,Mastodon
The conversation España,@theconversationes@newsie.social,Mastodon
Obradoiro Dixital Galego,@obradoirodixitalgalego@mastodon.gal,Mastodon
Virus Editorial,@viruseditorial@kolektiva.social,Mastodon
