Nombre,Enlace,Texto
Libreria Aldarull,https://aldarull.org/,Web con enlace a Mastodon
Anartist,https://social.anartist.org/@anartist,Mastodon verificado
Anartist,https://anartist.org/,Web con enlace a Mastodon
Aneca,https://www.aneca.es/,Web con enlace a Mastodon
Aneca,https://www.aneca.es/web/guest/-/aneca-aterriza-en-mastodon,Artículo en su web
Civio,https://civio.es/,Web con enlace a Mastodon
Climática,https://mastodon.social/@climatica_coop,Mastodon verificado
Climática,https://climatica.coop/,Web con enlace a Mastodon
Climática,https://climatica.coop/climatica-deja-de-publicar-en-facebook-e-instagram/,Comunicado en su web
CNT Valladolid,https://www.cntvalladolid.es/,Web con enlace a Mastodon
Cuéntica,https://masto.es/@cuentica,Mastodon verificado
Cuéntica,https://cuentica.com/,Web con enlace a Mastodon
Descontrol Editorial,https://descontrol.cat/,Web con enlace a Mastodon
desdelamina.net,https://xarxa.cloud/@desdelamina,Mastodon verificado
desdelamina.net,https://desdelamina.net/,Web con metaetiqueta a su Mastodon
Ediciones Dyskolo,https://www.dyskolo.cc/,Web con enlace a Mastodon
Ediciones Dyskolo,https://liberapay.com/dyskolo/donate,Liberapay
Ecologistas en Acción,https://www.ecologistasenaccion.org/,Web con enlace a Mastodon
elDiario.es,https://mastodon.world/@eldiarioes,Mastodon verificado
elDiario.es,https://www.eldiario.es/,Web con enlace a Mastodon
El Salto Diario,https://www.elsaltodiario.com/,Web con enlace a Mastodon
Amnistía Internacional Extremadura,https://mastodon.social/@ExtremaduraAI,Mastodon verificado
Amnistía Internacional Extremadura,https://blogs.es.amnesty.org/extremadura/nosotros/,Web con enlace a Mastodon
Izquierda Unida,https://mastodon.social/@izquierda_unida,Mastodon verificado
Izquierda Unida,https://izquierdaunida.org/,Web con enlace a Mastodon
Jugando En Linux,https://mastodon.social/@jugandoenlinux,Mastodon verificado
Jugando En Linux,https://jugandoenlinux.com/,Web con enlace a Mastodon
La Marea,https://mastodon.social/@lamarea,Mastodon verificado
La Marea,https://www.lamarea.com/,Web con enlace a Mastodon
La Marea,https://www.lamarea.com/2025/01/09/la-marea-deja-de-publicar-en-facebook-e-instagram/,Comunicado en su web
MediaLab Invisible,https://codeberg.org/medialab-invisible,Codeberg
MediaLab Invisible,https://github.com/medialab-invisible,GitHub
Obradoiro Dixital Galego,https://mastodon.gal/@obradoirodixitalgalego,Mastodon verificado
Obradoiro Dixital Galego,https://obradoirodixitalgalego.gal/,Web con enlace a Mastodon
Pantube TV,https://pantube.tv/linktree/,Web con enlace a Mastodon
The conversation España,https://newsie.social/@theconversationes,Mastodon verificado
The conversation España,https://desdelamina.net/,Web con enlace a Mastodon
Virus Editorial,https://kolektiva.social/@viruseditorial,Web con enlace a Mastodon
