Cuenta,Nombre,Descripción,Link,Estado
@anartist@social.anartist.org,Anartist,Comunidad abierta de artistas y creadoras bajo los principios de software libre,https://anartist.org/,FULL_MIGRATION
@jugandoenlinux@mastodon.social,Jugando En Linux,Comunidad de aficionados a los videojuegos y Linux,https://jugandoenlinux.com/,FULL_MIGRATION
@climatica_coop@mastodon.social,Climática,Medio periodístico especializado en clima y biodiversidad,https://climatica.coop/,HALF_MIGRATION
@lamarea@mastodon.social,La Marea,Medio periodístico editado por una cooperativa,https://www.lamarea.com/,HALF_MIGRATION
@ExtremaduraAI@mastodon.social,Amnistía Internacional Extremadura,"Grupo de acción de Extremadura, asdf por los Derechos Humanos",https://blogs.es.amnesty.org/extremadura/nosotros/,ACCOUNT_OPENED
@aneca@mastodon.social,Aneca,"Organismo Autónomo adscrito al Ministerio de Ciencia, Innovación y Universidades",https://mastodon.social/@aneca,ACCOUNT_OPENED
@civio@mastodon.social,Civio,Medio periodístico para vigilar lo público,https://civio.es/,ACCOUNT_OPENED
@cnt_valladolid@kolektiva.social,CNT Valladolid,Sindicato de Valladolid,https://www.cntvalladolid.es/,ACCOUNT_OPENED
@cuentica@masto.es,Cuéntica,Empresa de software de gestión para autónomos y empresas,https://cuentica.com,ACCOUNT_OPENED
@desdelamina@xarxa.cloud,desdelamina.net,Portal de noticias comunitario del barrio de La Mina,https://desdelamina.net/,ACCOUNT_OPENED
@DescontrolEditorial@mastodont.cat,Descontrol Editorial,Editorial de libros catalana,https://descontrol.cat/,ACCOUNT_OPENED
@ecologistas@mastodon.social,Ecologistas en Acción,Confederación de grupos ecologistas.,https://www.ecologistasenaccion.org/,ACCOUNT_OPENED
@dyskolo@mastodon.social,Ediciones Dyskolo,Proyecto editorial sin ánimo de lucro,https://www.dyskolo.cc/,ACCOUNT_OPENED
@eldiarioes@mastodon.world,elDiario.es,Medio periodístico digital,https://www.eldiario.es/,ACCOUNT_OPENED
@ElSaltoDiario@mastodon.social,El Salto Diario,Medio periodístico autogestionado,https://www.elsaltodiario.com/,ACCOUNT_OPENED
@izquierda_unida@mastodon.social,Izquierda Unida,Federación de partidos políticos de izquierdas,https://izquierdaunida.org/,ACCOUNT_OPENED
@aldarull@mastodont.cat,Libreria Aldarull,Librería anarquista catalana,https://aldarull.org/,ACCOUNT_OPENED
@medialab_invisible@xarxa.cloud,MediaLab Invisible,Espacio por el software libre en La Casa Invisible en Málaga,https://lainvisible.net/,ACCOUNT_OPENED
@pantube@mas.to,Pantube TV,"Colectivo independiente de apoyo, difusión y ayuda mutua",https://pantube.tv/,ACCOUNT_OPENED
@theconversationes@newsie.social,The conversation España,Medio periodístico de divulgación científica y académica sin ánimo de lucro,https://theconversation.com/es,ACCOUNT_OPENED
@obradoirodixitalgalego@mastodon.gal,Obradoiro Dixital Galego,Asociación Cultural que promueve y difunde el contenido en gallego en la red,https://obradoirodixitalgalego.gal/,ACCOUNT_OPENED
@viruseditorial@kolektiva.social,Virus Editorial,Proyecto cooperativo de edición y distribución de libros,https://viruseditorial.net/,ACCOUNT_OPENED
